Label,Cluster,Color,PassOne,PassOneCol
sp_Q96PD6.2_MOGT1.HUMAN,0.0,#2f4f4f,0,#2f4f4f
sp_P30101.4_PDIA3.HUMAN,1.0,#556b2f,1,#556b2f
sp_A6NK58.1_LIPT2.HUMAN,1.0,#556b2f,1,#556b2f
sp_Q86VE3.4_SATL1.HUMAN,1.0,#556b2f,1,#556b2f
sp_P56704.2_WNT3A.HUMAN,1.0,#556b2f,1,#556b2f
sp_Q6ZNC8.1_MBOA1.HUMAN,2,#8b4513,2,#8b4513
sp_Q6ZWT7.2_MBOA2.HUMAN,2,#8b4513,2,#8b4513
sp_Q96T53.2_MBOA4.HUMAN,2,#8b4513,2,#8b4513
sp_P51674.2_GPM6A.HUMAN,2,#8b4513,2,#8b4513
sp_Q86U10.3_LPP60.HUMAN,3.0,#2e8b57,3,#2e8b57
sp_Q96CV9.3_OPTN.HUMAN,3.0,#2e8b57,3,#2e8b57
sp_Q8N8M0.2_NAT16.HUMAN,3.0,#2e8b57,3,#2e8b57
sp_Q96I13.1_ABHD8.HUMAN,3.0,#2e8b57,3,#2e8b57
sp_Q96GR4.2_ZDH12.HUMAN,4,#228b22,4,#228b22
sp_Q8WTX9.1_ZDHC1.HUMAN,4,#228b22,4,#228b22
sp_P0C7U3.1_ZH11B.HUMAN,4,#228b22,4,#228b22
sp_Q9H8X9.1_ZDH11.HUMAN,4,#228b22,4,#228b22
sp_Q147X3.1_NAA30.HUMAN,5,#708090,5,#708090
sp_Q9UHE5.2_NAT8.HUMAN,5,#708090,5,#708090
sp_Q9UHF3.1_NAT8B.HUMAN,5,#708090,5,#708090
sp_Q8N9F0.3_NAT8L.HUMAN,5,#708090,5,#708090
sp_Q8ND83.3_SLAI1.HUMAN,6,#8b0000,6,#8b0000
sp_Q07065.2_CKAP4.HUMAN,6,#8b0000,6,#8b0000
sp_Q9H7Z6.2_KAT8.HUMAN,6,#8b0000,6,#8b0000
sp_Q92993.2_KAT5.HUMAN,6,#8b0000,6,#8b0000
sp_O95251.1_KAT7.HUMAN,6,#8b0000,6,#8b0000
sp_Q9NYG2.2_ZDHC3.HUMAN,7.0,#808000,7,#808000
sp_Q9NXF8.2_ZDHC7.HUMAN,7.0,#808000,7,#808000
sp_Q8IVQ6.1_ZDH21.HUMAN,7.0,#808000,7,#808000
sp_Q8N966.2_ZDH22.HUMAN,7.0,#808000,7,#808000
sp_Q8TB40.1_ABHD4.HUMAN,8,#483d8b,8,#483d8b
sp_Q8WTS1.1_ABHD5.HUMAN,8,#483d8b,8,#483d8b
sp_Q96KN8.2_PLAT5.HUMAN,8,#483d8b,8,#483d8b
sp_A6NGU5.2_GGT3.HUMAN,9,#008080,9,#008080
sp_P19440.2_GGT1.HUMAN,9,#008080,9,#008080
sp_P36269.2_GGT5.HUMAN,9,#008080,9,#008080
sp_Q9UJ14.2_GGT7.HUMAN,9,#008080,9,#008080
sp_Q8N159.1_NAGS.HUMAN,9,#008080,9,#008080
sp_Q6P531.2_GGT6.HUMAN,10,#b8860b,10,#b8860b
sp_Q71RH2.1_TLC3B.HUMAN,10,#b8860b,10,#b8860b
sp_Q9NST1.2_PLPL3.HUMAN,10,#b8860b,10,#b8860b
sp_Q93015.2_NAA80.HUMAN,10,#b8860b,10,#b8860b
sp_P21980.2_TGM2.HUMAN,11.0,#4682b4,11,#4682b4
sp_Q08188.4_TGM3.HUMAN,11.0,#4682b4,11,#4682b4
sp_O95932.3_TGM3L.HUMAN,11.0,#4682b4,11,#4682b4
sp_Q96PF1.1_TGM7.HUMAN,11.0,#4682b4,11,#4682b4
sp_P49221.2_TGM4.HUMAN,11.0,#4682b4,11,#4682b4
sp_Q12983.4_BNIP3.HUMAN,12.0,#d2691e,12,#d2691e
sp_Q8WU03.1_GLYL2.HUMAN,13.0,#9acd32,13,#9acd32
sp_Q14032.1_BAAT.HUMAN,14,#32cd32,14,#32cd32
sp_P23141.2_EST1.HUMAN,14,#32cd32,14,#32cd32
sp_P02649.1_APOE.HUMAN,14,#32cd32,14,#32cd32
sp_P06727.4_APOA4.HUMAN,14,#32cd32,14,#32cd32
sp_P02647.1_APOA1.HUMAN,14,#32cd32,14,#32cd32
sp_Q6Q788.1_APOA5.HUMAN,14,#32cd32,14,#32cd32
sp_Q9Y371.1_SHLB1.HUMAN,14,#32cd32,14,#32cd32
sp_Q16635.2_TAZ.HUMAN,14,#32cd32,14,#32cd32
sp_Q9NUE0.2_ZDH18.HUMAN,15,#8fbc8f,15,#8fbc8f
sp_Q8IZN3.1_ZDH14.HUMAN,15,#8fbc8f,15,#8fbc8f
sp_Q9Y397.2_ZDHC9.HUMAN,15,#8fbc8f,15,#8fbc8f
sp_Q8IYP9.3_ZDH23.HUMAN,15,#8fbc8f,15,#8fbc8f
sp_Q8WVZ1.2_ZDH19.HUMAN,15,#8fbc8f,15,#8fbc8f
sp_Q9NPG8.1_ZDHC4.HUMAN,15,#8fbc8f,15,#8fbc8f
sp_O15120.1_PLCB.HUMAN,16,#800080,16,#800080
sp_Q99943.2_PLCA.HUMAN,16,#800080,16,#800080
sp_Q96MH6.2_DIESL.HUMAN,16,#800080,16,#800080
sp_Q5VTY9.1_HHAT.HUMAN,16,#800080,16,#800080
sp_Q9HCP6.1_HHATL.HUMAN,16,#800080,16,#800080
sp_Q9UP65.2_PA24C.HUMAN,17,#b03060,17,#b03060
sp_Q9NXS2.2_QPCTL.HUMAN,17,#b03060,17,#b03060
sp_Q16769.1_QPCT.HUMAN,17,#b03060,17,#b03060
sp_Q6UWP7.1_LCLT1.HUMAN,18,#9932cc,18,#9932cc
sp_Q9NUQ2.3_PLCE.HUMAN,18,#9932cc,18,#9932cc
sp_Q9NRZ5.1_PLCD.HUMAN,18,#9932cc,18,#9932cc
sp_Q9NRZ7.1_PLCC.HUMAN,18,#9932cc,18,#9932cc
sp_Q7Z7B1.1_PIGW.HUMAN,18,#9932cc,18,#9932cc
sp_Q9H237.2_PORCN.HUMAN,34.2,#ff4500,34,#f0e68c
sp_Q8NC51.2_SERB1.HUMAN,19,#00ced1,19,#00ced1
sp_Q56NI9.1_ESCO2.HUMAN,19,#00ced1,19,#00ced1
sp_Q7Z699.2_SPRE1.HUMAN,19,#00ced1,19,#00ced1
sp_Q2MJR0.1_SPRE3.HUMAN,19,#00ced1,19,#00ced1
sp_P24588.3_AKAP5.HUMAN,19,#00ced1,19,#00ced1
sp_Q96N66.2_MBOA7.HUMAN,34.1,#ff8c00,34,#f0e68c
sp_P35610.3_SOAT1.HUMAN,20,#ffd700,20,#ffd700
sp_O75908.1_SOAT2.HUMAN,20,#ffd700,20,#ffd700
sp_O75907.2_DGAT1.HUMAN,20,#ffd700,20,#ffd700
sp_Q96DZ5.3_CLIP3.HUMAN,21,#0000cd,21,#0000cd
sp_Q00403.1_TF2B.HUMAN,21,#0000cd,21,#0000cd
sp_O95237.2_LRAT.HUMAN,21,#0000cd,21,#0000cd
sp_P30041.3_PRDX6.HUMAN,21,#0000cd,21,#0000cd
sp_Q9Y6F7.1_CDY2.HUMAN,21,#0000cd,21,#0000cd
sp_Q9Y6F8.1_CDY1.HUMAN,21,#0000cd,21,#0000cd
sp_P21953.2_ODBB.HUMAN,21,#0000cd,21,#0000cd
sp_Q68CP4.2_HGNAT.HUMAN,32.1,#deb887,32,#b0c4de
sp_P23786.2_CPT2.HUMAN,22,#00ff00,22,#00ff00
sp_P43155.5_CACP.HUMAN,22,#00ff00,22,#00ff00
sp_Q9UKG9.2_OCTC.HUMAN,22,#00ff00,22,#00ff00
sp_P11245.2_ARY2.HUMAN,23,#00fa9a,23,#00fa9a
sp_P18440.2_ARY1.HUMAN,23,#00fa9a,23,#00fa9a
sp_O14734.1_ACOT8.HUMAN,23,#00fa9a,23,#00fa9a
sp_Q7L5N7.1_PCAT2.HUMAN,24,#dc143c,24,#dc143c
sp_Q8NF37.2_PCAT1.HUMAN,24,#dc143c,24,#dc143c
sp_Q643R3.1_LPCT4.HUMAN,24,#dc143c,24,#dc143c
sp_P10515.3_ODP2.HUMAN,25,#00bfff,25,#00bfff
sp_P36957.4_ODO2.HUMAN,25,#00bfff,25,#00bfff
sp_P11182.3_ODB2.HUMAN,25,#00bfff,25,#00bfff
sp_P06239.6_LCK.HUMAN,26,#f4a460,26,#f4a460
sp_O15228.1_GNPAT.HUMAN,26,#f4a460,26,#f4a460
sp_Q9NPF4.1_OSGEP.HUMAN,26,#f4a460,26,#f4a460
sp_Q9H4B0.2_OSGL1.HUMAN,26,#f4a460,26,#f4a460
sp_Q9UMX2.2_OAZ3.HUMAN,27,#0000ff,27,#0000ff
sp_P54368.3_OAZ1.HUMAN,27,#0000ff,27,#0000ff
sp_O95260.2_ATE1.HUMAN,27,#0000ff,27,#0000ff
sp_Q9H6R6.1_ZDHC6.HUMAN,28,#a020f0,28,#a020f0
sp_Q969W1.1_ZDH16.HUMAN,28,#a020f0,28,#a020f0
sp_Q8IUH4.3_ZDH13.HUMAN,28,#a020f0,28,#a020f0
sp_Q8IUH5.2_ZDH17.HUMAN,28,#a020f0,28,#a020f0
sp_Q6UX98.1_ZDH24.HUMAN,28,#a020f0,28,#a020f0
sp_Q96MV8.1_ZDH15.HUMAN,28,#a020f0,28,#a020f0
sp_Q9UIJ5.1_ZDHC2.HUMAN,28,#a020f0,28,#a020f0
sp_Q5W0Z9.1_ZDH20.HUMAN,28,#a020f0,28,#a020f0
sp_O15269.1_SPTC1.HUMAN,29,#adff2f,29,#adff2f
sp_O15270.1_SPTC2.HUMAN,29,#adff2f,29,#adff2f
sp_Q9NUV7.3_SPTC3.HUMAN,29,#adff2f,29,#adff2f
sp_P22557.2_HEM0.HUMAN,29,#adff2f,29,#adff2f
sp_P13196.2_HEM1.HUMAN,29,#adff2f,29,#adff2f
sp_O75600.1_KBL.HUMAN,29,#adff2f,29,#adff2f
sp_P22307.2_SCP2.HUMAN,29,#adff2f,29,#adff2f
sp_Q9H7X0.1_NAA60.HUMAN,30,#ff6347,30,#ff6347
sp_P41227.1_NAA10.HUMAN,30,#ff6347,30,#ff6347
sp_Q9BSU3.3_NAA11.HUMAN,30,#ff6347,30,#ff6347
sp_Q86UY6.1_NAA40.HUMAN,30,#ff6347,30,#ff6347
sp_P24752.1_THIL.HUMAN,31,#da70d6,31,#da70d6
sp_Q9BWD1.2_THIC.HUMAN,31,#da70d6,31,#da70d6
sp_P42765.2_THIM.HUMAN,31,#da70d6,31,#da70d6
sp_P09110.2_THIK.HUMAN,31,#da70d6,31,#da70d6
sp_P55084.3_ECHB.HUMAN,31,#da70d6,31,#da70d6
sp_O60551.1_NMT2.HUMAN,32.0,#b0c4de,32,#b0c4de
sp_P30419.2_NMT1.HUMAN,32.0,#b0c4de,32,#b0c4de
sp_Q92604.1_LGAT1.HUMAN,32.0,#b0c4de,32,#b0c4de
sp_Q96PD7.2_DGAT2.HUMAN,33,#ff00ff,33,#ff00ff
sp_Q6E213.1_AWAT2.HUMAN,33,#ff00ff,33,#ff00ff
sp_Q58HT5.1_AWAT1.HUMAN,33,#ff00ff,33,#ff00ff
sp_Q6ZPD8.1_DG2L6.HUMAN,33,#ff00ff,33,#ff00ff
sp_Q86VF5.1_MOGT3.HUMAN,33,#ff00ff,33,#ff00ff
sp_Q6P1A2.1_MBOA5.HUMAN,34.0,#f0e68c,34,#f0e68c
sp_Q96G23.1_CERS2.HUMAN,35,#fa8072,35,#fa8072
sp_Q8IU89.2_CERS3.HUMAN,35,#fa8072,35,#fa8072
sp_Q9HA82.2_CERS4.HUMAN,35,#fa8072,35,#fa8072
sp_A0A0U1RQE8.1_GLYLB.HUMAN,13.5,#ffff54,13,#9acd32
sp_Q969I3.1_GLYL1.HUMAN,13.5,#ffff54,13,#9acd32
sp_P25445.1_TNR6.HUMAN,36,#6495ed,36,#6495ed
sp_O14929.2_HAT1.HUMAN,36,#6495ed,36,#6495ed
sp_Q8IVS2.2_FABD.HUMAN,36,#6495ed,36,#6495ed
sp_Q6IB77.3_GLYAT.HUMAN,13.4,#dda0dd,13,#9acd32
sp_Q5SZD4.3_GLYL3.HUMAN,13.3,#90ee90,13,#9acd32
sp_Q9Y234.1_LIPT.HUMAN,13.2,#7b68ee,13,#9acd32
sp_P27544.1_CERS1.HUMAN,12.2,#afeeee,12,#d2691e
sp_Q9H9T3.2_ELP3.HUMAN,13.1,#7fffd4,13,#9acd32
sp_Q8N5B7.1_CERS5.HUMAN,12.1,#ff69b4,12,#d2691e
sp_Q6ZMG9.1_CERS6.HUMAN,12.1,#ff69b4,12,#d2691e
sp_P12694.2_ODBA.HUMAN,11.1,#ffb6c1,11,#4682b4
sp_Q86UL3.1_GPAT4.HUMAN,7.1,#2f4f4f,7,#808000
sp_Q9NWU1.1_OXSM.HUMAN,3.1,#556b2f,3,#2e8b57
sp_P15104.4_GLNA.HUMAN,3.1,#556b2f,3,#2e8b57
sp_Q02083.3_NAAA.HUMAN,0.3,#8b4513,0,#2f4f4f
sp_Q8NCC3.2_PAG15.HUMAN,0.2,#2e8b57,0,#2f4f4f
sp_P04180.1_LCAT.HUMAN,0.2,#2e8b57,0,#2f4f4f
sp_Q9UI08.2_EVL.HUMAN,1.1,#228b22,1,#556b2f
sp_Q5SQI0.1_ATAT.HUMAN,1.1,#228b22,1,#556b2f
sp_Q3SYC2.2_MOGT2.HUMAN,0.1,#708090,0,#2f4f4f
sp_Q6IED9.2_DG2L7.HUMAN,0.1,#708090,0,#2f4f4f
