Label,Cluster,Color,PassOne,PassOneCol
sp_P38117.3_ETFB.HUMAN,0,#2f4f4f,0,#2f4f4f
sp_P36959.1_GMPR1.HUMAN,0,#2f4f4f,0,#2f4f4f
sp_Q13630.1_FCL.HUMAN,0,#2f4f4f,0,#2f4f4f
sp_Q5TEU4.1_NDUF5.HUMAN,1,#556b2f,1,#556b2f
sp_Q9UJM8.1_HAOX1.HUMAN,1,#556b2f,1,#556b2f
sp_Q9NYQ3.1_HAOX2.HUMAN,1,#556b2f,1,#556b2f
sp_Q7Z5P4.1_DHB13.HUMAN,2,#8b4513,2,#8b4513
sp_Q8NBQ5.4_DHB11.HUMAN,2,#8b4513,2,#8b4513
sp_Q8N3Y7.2_RDHE2.HUMAN,2,#8b4513,2,#8b4513
sp_Q8IZV5.1_RDH10.HUMAN,2,#8b4513,2,#8b4513
sp_O75911.2_DHRS3.HUMAN,2,#8b4513,2,#8b4513
sp_P07327.2_ADH1A.HUMAN,3,#2e8b57,3,#2e8b57
sp_P00325.3_ADH1B.HUMAN,3,#2e8b57,3,#2e8b57
sp_P00326.2_ADH1G.HUMAN,3,#2e8b57,3,#2e8b57
sp_P40394.2_ADH7.HUMAN,3,#2e8b57,3,#2e8b57
sp_P11766.4_ADHX.HUMAN,3,#2e8b57,3,#2e8b57
sp_P08319.5_ADH4.HUMAN,3,#2e8b57,3,#2e8b57
sp_P28332.3_ADH6.HUMAN,3,#2e8b57,3,#2e8b57
sp_Q00796.4_DHSO.HUMAN,3,#2e8b57,3,#2e8b57
sp_Q99536.2_VAT1.HUMAN,3,#2e8b57,3,#2e8b57
sp_Q9HCJ6.2_VAT1L.HUMAN,3,#2e8b57,3,#2e8b57
sp_Q9NYR8.1_RDH8.HUMAN,4.0,#228b22,4,#228b22
sp_P14061.3_DHB1.HUMAN,4.0,#228b22,4,#228b22
sp_Q13268.4_DHRS2.HUMAN,5,#708090,5,#708090
sp_P0CG22.1_DR4L1.HUMAN,5,#708090,5,#708090
sp_Q6PKH6.2_DR4L2.HUMAN,5,#708090,5,#708090
sp_Q9BTZ2.3_DHRS4.HUMAN,5,#708090,5,#708090
